group,label,n,size_gb,chunk_gb,policy,seeds,source_gbps,down_gbps,peer_up_gbps,sink_gbps,memory_gbps,fabric_gbps,rack_gbps,rack_size,ordering,hop_delay_s,slots,root_mode,random_seed,slow_factor,source_memory_gbps,time_s,p50_s,p95_s,min_s,lower_bound_s,source_gb,peer_gb,cross_rack_gb,peak_source_gbps,peak_total_gbps,events,chunks,final_client_cache_gb,wall_seconds
scale,B10_N8_multi8,8,140.0,0.25,multi,8,10.0,10.0,10.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,14.00002000000013,14.00002000000013,14.00002000000013,14.00002000000013,14.0,1120.0,0.0,1120.0,80.0,80.0,1119,560,1120.0,0.12190679099999996
scale,B10_N8_p2p1,8,140.0,0.25,p2p,1,10.0,10.0,10.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,14.175160000000384,14.087590000000386,14.166403000000384,14.000020000000386,14.0,140.00000000000279,979.9999999994367,140.00000000000279,10.0,80.0,5046,560,1120.0,0.20082179099999997
scale,B10_N8_single1,8,140.0,0.25,single,1,10.0,10.0,10.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,112.00002000000835,111.91252000000833,111.99127000000834,111.82502000000831,112.0,1120.0,0.0,1120.0,10.0,10.0,8959,560,1120.0,0.3688396669999999
scale,B40_N100_multi4,100,140.0,0.25,multi,4,40.0,40.0,40.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,87.5000199999889,87.42501999998896,87.4937699999889,87.35001999998903,87.5,14000.0,0.0,14000.0,160.0,160.0,27999,560,14000.0,1.0610429590000008
scale,B40_N100_multi8,100,140.0,0.25,multi,8,40.0,40.0,40.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,45.50002000000606,45.42502000000604,45.49377000000606,41.93127000000525,43.75,14000.0,0.0,14000.0,320.0,320.0,14559,560,14000.0,0.6753550419999996
scale,B40_N100_p2p1,100,140.0,0.25,p2p,1,40.0,40.0,40.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,4.120750000006458,3.810385000006193,4.0897135000064555,3.500020000005388,3.5,140.0000000000614,13859.99999910738,1400.0000000079044,40.0,4000.0,56658,560,14000.0,8.752777292
scale,B40_N100_single1,100,140.0,0.25,single,1,40.0,40.0,40.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,350.0000200001776,349.69064500017646,349.9690825001775,349.38127000017533,350.0,14000.0,0.0,14000.0,40.0,40.0,111999,560,14000.0,3.455152667
scale,B40_N16_multi4,16,140.0,0.25,multi,4,40.0,40.0,40.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,14.000019999999472,13.990644999999471,14.000019999999472,13.981269999999473,14.0,2240.0,0.0,2240.0,160.0,160.0,4479,560,2240.0,0.15252125000000039
scale,B40_N16_multi8,16,140.0,0.25,multi,8,40.0,40.0,40.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,7.00001999999987,6.99689499999987,7.00001999999987,6.99376999999987,7.0,2240.0,0.0,2240.0,320.0,320.0,2239,560,2240.0,0.09620299999999915
scale,B40_N16_p2p1,16,140.0,0.25,p2p,1,40.0,40.0,40.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,3.5940700000008534,3.5470450000008484,3.5893675000008534,3.5000200000008315,3.5,140.00000000000924,2100.0000000027267,279.9999999999773,40.0,640.0,9534,560,2240.0,0.45448237499999955
